method,macro_ppl,micro_ppl,routing_nmi,routing_acc,util_entropy,separation,swap_ratio,added_params
cbtm,30.21868224787616,28.316301985686223,0.7604344234646492,0.8035381750465549,0.970348664118591,nan,nan,649125888
dense,26.989012592597696,25.03122108135164,0.7604344234646492,0.8035381750465549,0.970348664118591,nan,nan,0
hard_moe,27.967967495615476,25.944564207723143,0.7604344234646492,0.8035381750465549,0.970348664118591,nan,nan,226722816
ours_sup,35.65820345738702,32.46029353141263,0.7604344234646492,0.8035381750465549,0.970348664118591,1.2477243691682816,1.1800343404888174,15360
ours_unsup,35.1980443619173,32.21692542202583,0.8302797917966349,0.8282122905027933,0.97366762952881,1.2491304874420166,1.217345800158159,609797
