method,macro_ppl,micro_ppl,routing_nmi,routing_acc,util_entropy,separation,swap_ratio,added_params,trainable_params,active_params,total_params
dense_1x,2.471917857517853,2.3760694885088958,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,0,25646592,25646592,25646592
govern_spectralA_r128_d512,2.4420899478934555,2.3501252736504026,1.0,1.0,0.9621248821246046,1.1417616456747055,1.7233571245372747,4096,4096,29319168,29322752
govern_spectralA_d512,2.4464633684804955,2.3535372056285353,1.0,1.0,0.9621248821246046,1.141868680715561,1.643323854014101,4096,4096,26106112,26109696
govern_spectralA_r64_d512,2.4439997839008556,2.3515478605434845,1.0,1.0,0.9621248821246046,1.141769826412201,1.6480411630657545,4096,4096,27483136,27486720
moe_g1,2.591948298430094,2.488183364263828,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,117616640,143263232,25679360,143263232
moe_g2,2.3986407551297457,2.305954663128379,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,126078976,143328768,25716224,143328768
moe_g4,2.3829689968415875,2.2907445456629483,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,130408448,143459840,25789952,143459840
ours_sup_seq,2.4602511206810105,2.3681944728877165,1.0,1.0,0.9621248821246046,1.1427177041769028,1.4905425636869314,4096,4096,25647104,25650688
