method,macro_ppl,micro_ppl,routing_nmi,routing_acc,util_entropy,separation,swap_ratio,added_params,trainable_params,active_params,total_params
dense,2.964556020692993,2.841052599186891,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,0,4952320,4952320,4952320
em_gov,2.8944208592620084,2.778187618290926,1.0,1.0,0.9621248821246046,1.1417933702468872,1.618337142137369,2048,2048,5124800,5126592
em_prefix,2.9398522689845477,2.82048758961076,1.0,1.0,0.9621248821246046,1.1426825374364853,1.5296273331422117,2048,2048,4952576,4954368
moe,2.6599107334181715,2.5572646999805277,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,23686656,27063040,4978432,27063040
