method,macro_ppl,micro_ppl,routing_nmi,routing_acc,util_entropy,separation,swap_ratio,added_params,trainable_params,active_params,total_params
dense_1x,3.7155858810066307,3.4597828654797382,0.8179995949134496,0.9283106538333886,0.9302487897442057,nan,nan,0,2572032,2572032,2572032
dense_5x,3.357997701442044,3.1579297618375204,0.8179995949134496,0.9283106538333886,0.9302487897442057,nan,nan,0,5723904,5723904,5723904
hard_moe,3.673224463653195,3.405506466751028,0.8179995949134496,0.9283106538333886,0.9302487897442057,nan,nan,3165696,5737728,2579712,5737728
hard_moe_oracle,3.552812093871779,3.3142715257987274,0.8179995949134496,0.9283106538333886,0.9302487897442057,nan,nan,3165696,5737728,2579712,5737728
ours_sup_alt,3.8494504030674777,3.5836862770231024,1.0,1.0,0.9188681216292843,1.249997764825821,1.2221295085841193,5120,2593536,2589440,2593536
ours_unsup_alt,3.898490528937944,3.6238591043135133,0.7609361877526065,0.8967806173249253,0.918256978957223,1.2499969750642776,1.0363636873145368,72197,2660613,2656517,2660613
ours_unsup_alt20k,3.685561464083115,3.44074165065355,0.7672302337919187,0.9010952538997676,0.9192188690230444,1.2499973326921463,1.043830942950636,72197,2660613,2656517,2660613
